,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
1642,Jonathan Santana,Central Midfield,24,River Plate,Torneo Final,VfL Wolfsburg,1.Bundesliga,2006-2007,4500000,3600000
1643,Leonardo Pisculichi,Attacking Midfield,22,RCD Mallorca,LaLiga,Al Arabi, Qatar,2006-2007,1750000,3600000
1644,Konstantinos Katsouranis,Defensive Midfield,27,AEK Athens,Super League,Benfica,Liga NOS,2006-2007,7000000,3500000
1645,Jiri Jarosik,Centre-Back,28,Chelsea,Premier League,Celtic,Premiership,2006-2007,6500000,3500000
1646,Ronald Zubar,Centre-Back,20,SM Caen,Ligue 2,Marseille,Ligue 1,2006-2007,3750000,3500000
1647,Roberto Guana,Central Midfield,25,Brescia,Serie B,US Palermo,Serie A,2006-2007,3700000,3500000
1648,Jérémy Ménez,Second Striker,19,FC Sochaux,Ligue 1,Monaco,Ligue 1,2006-2007,3500000,3500000
1649,Stefano Mauri,Attacking Midfield,26,Udinese Calcio,Serie A,Lazio,Serie A,2006-2007,3000000,3500000
1650,Ricardo Osorio,Right-Back,26,CD Cruz Azul,Liga MX Clausura,VfB Stuttgart,1.Bundesliga,2006-2007,3000000,3500000
1651,Francisco Fonseca,Centre-Forward,26,CD Cruz Azul,Liga MX Clausura,Benfica,Liga NOS,2006-2007,2500000,3500000
1652,Diego Rivas,Central Midfield,26,Getafe CF,LaLiga,Real Sociedad,LaLiga,2006-2007,1500000,3500000
1653,Gijs Luirink,Centre-Back,22,FC Groningen,Eredivisie,AZ Alkmaar,Eredivisie,2006-2007,750000,3500000
1654,Claude Davis,Centre-Back,27,Preston NE,Championship,Sheffield Utd.,Premier League,2006-2007,300000,3500000
1655,Daniel Montenegro,Attacking Midfield,27,Saturn,Premier Liga,Independiente,Torneo Final,2006-2007,-1,3500000
1656,Nelson Rivas,Centre-Back,23,Deportivo Cali, Colombia,River Plate,Torneo Final,2006-2007,-1,3500000
1657,Pablo Vitti,Centre-Forward,21,CA Rosario,Torneo Final,CA Banfield,Torneo Final,2006-2007,-1,3500000
1658,Rob Hulse,Centre-Forward,26,Leeds,Championship,Sheffield Utd.,Premier League,2006-2007,1750000,3450000
1659,Christian Wilhelmsson,Right Winger,26,RSC Anderlecht,Jupiler Pro League,FC Nantes,Ligue 1,2006-2007,7000000,3300000
1660,Daniele Bonera,Centre-Back,25,Parma,Serie A,AC Milan,Serie A,2006-2007,6000000,3300000
1661,Daniel Niculae,Centre-Forward,23,Rapid Bucharest,Liga 1,AJ Auxerre,Ligue 1,2006-2007,3300000,3300000
1662,Radhi Jaidi,Centre-Back,30,Bolton,Premier League,Birmingham,Championship,2006-2007,2000000,3250000
1663,David Cotterill,Right Winger,18,Bristol City,League One,Wigan,Premier League,2006-2007,400000,3200000
1664,Corrêa,Defensive Midfield,25,Palmeiras,Série A,Dynamo Kyiv,Premier Liga,2006-2007,-1,3200000
1665,Pasquale Foggia,Attacking Midfield,23,AC Milan,Serie A,Lazio,Serie A,2006-2007,2500000,3150000
1666,Johan Micoud,Attacking Midfield,32,Werder Bremen,1.Bundesliga,G. Bordeaux,Ligue 1,2006-2007,8500000,3000000
1667,Steed Malbranque,Central Midfield,26,Fulham,Premier League,Spurs,Premier League,2006-2007,8200000,3000000
1668,Marco Cassetti,Centre-Back,29,Lecce,Serie B,AS Roma,Serie A,2006-2007,6000000,3000000
1669,Andreas Isaksson,Goalkeeper,24,Stade Rennais,Ligue 1,Man City,Premier League,2006-2007,6000000,3000000
1670,Jaap Stam,Centre-Back,33,AC Milan,Serie A,AFC Ajax,Eredivisie,2006-2007,5500000,3000000
1671,Juan Pablo Sorín,Left-Back,30,Villarreal CF,LaLiga,Hamburger SV,1.Bundesliga,2006-2007,5500000,3000000
1672,Jan Kromkamp,Right-Back,25,Liverpool,Premier League,PSV Eindhoven,Eredivisie,2006-2007,5000000,3000000
1673,Boško Jankovic,Right Winger,22,Red Star,SuperLiga,RCD Mallorca,LaLiga,2006-2007,5000000,3000000
1674,Robert Green,Goalkeeper,26,Norwich,Championship,West Ham,Premier League,2006-2007,5000000,3000000
1675,Luis Jiménez,Attacking Midfield,22,Fiorentina,Serie A,Ternana,Serie C - B,2006-2007,5000000,3000000
1676,Markus Rosenberg,Centre-Forward,24,AFC Ajax,Eredivisie,Werder Bremen,1.Bundesliga,2006-2007,4500000,3000000
1677,Bernardo Corradi,Centre-Forward,30,Valencia CF,LaLiga,Man City,Premier League,2006-2007,4000000,3000000
1678,Lucas Biglia,Defensive Midfield,20,Independiente,Torneo Final,RSC Anderlecht,Jupiler Pro League,2006-2007,4000000,3000000
1679,Luciano Figueroa,Centre-Forward,25,River Plate,Torneo Final,Genoa,Serie B,2006-2007,3750000,3000000
1680,Thomas Gravesen,Defensive Midfield,30,Real Madrid,LaLiga,Celtic,Premiership,2006-2007,3500000,3000000
1681,Erjon Bogdani,Centre-Forward,29,Siena,Serie A,Chievo Verona,Serie A,2006-2007,3250000,3000000
1682,Carlton Cole,Centre-Forward,22,Chelsea,Premier League,West Ham,Premier League,2006-2007,3000000,3000000
1683,Ivan Pelizzoli,Goalkeeper,26,Reggina,Serie A,Loko Moscow,Premier Liga,2006-2007,3000000,3000000
1684,Amara Diané,Right Winger,23,R. Strasbourg,Ligue 2,Paris SG,Ligue 1,2006-2007,3000000,3000000
1685,Cribari,Centre-Back,26,Udinese Calcio,Serie A,Lazio,Serie A,2006-2007,3000000,3000000
1686,Leandro Gracián,Attacking Midfield,23,Vélez Sarsfield,Torneo Final,Monterrey,Liga MX Clausura,2006-2007,3000000,3000000
1687,Yohan Hautcoeur,Central Midfield,24,Le Mans,Ligue 1,Saint-Étienne,Ligue 1,2006-2007,3000000,3000000
1688,José Manuel Jurado,Attacking Midfield,20,Real Madrid,LaLiga,Atlético Madrid,LaLiga,2006-2007,3000000,3000000
1689,Amdy Fayé,Defensive Midfield,29,Newcastle,Premier League,Charlton,Premier League,2006-2007,2500000,3000000
1690,André Ooijer,Centre-Back,32,PSV Eindhoven,Eredivisie,Blackburn,Premier League,2006-2007,2500000,3000000
1691,Abdoulaye Fayé,Centre-Back,28,Lens,Ligue 1,Bolton,Premier League,2006-2007,2400000,3000000
1692,Arthur Boka,Left-Back,23,R. Strasbourg,Ligue 2,VfB Stuttgart,1.Bundesliga,2006-2007,2350000,3000000
1693,Nenad Kovacevic,Defensive Midfield,25,Red Star,SuperLiga,Lens,Ligue 1,2006-2007,2000000,3000000
1694,Pascal Cygan,Centre-Back,32,Arsenal,Premier League,Villarreal CF,LaLiga,2006-2007,1400000,3000000
1695,Clint Dempsey,Second Striker,23,Revolution,MLS,Fulham,Premier League,2006-2007,1000000,3000000
1696,Pablo Barrientos,Right Winger,21,San Lorenzo,Torneo Final,FK Moskau,Premier Liga,2006-2007,1000000,3000000
1697,Michel Bastos,Left Midfield,22,Atlético-PR,Série A,LOSC Lille,Ligue 1,2006-2007,1000000,3000000
1698,Aílton,Centre-Forward,22,Örgryte,Superettan,FC Copenhagen,Superligaen,2006-2007,1000000,3000000
1699,Christian Maggio,Right-Back,24,Fiorentina,Serie A,Sampdoria,Serie A,2006-2007,800000,3000000
1700,Zdravko Kuzmanovic,Central Midfield,19,FC Basel,Super League,Fiorentina,Serie A,2006-2007,800000,3000000
1701,Gonzalo Vargas,Centre-Forward,24,Gimnasia,Torneo Final,Monaco,Ligue 1,2006-2007,450000,3000000
1702,Kevin Thomson,Central Midfield,22,Hibernian FC,Premiership,Rangers,Premiership,2006-2007,450000,3000000
1703,George Ogararu,Right-Back,26,FCS Bucharest,Liga 1,AFC Ajax,Eredivisie,2006-2007,300000,3000000
1704,Anthony Stokes,Centre-Forward,18,Arsenal U23, England,Sunderland,Championship,2006-2007,100000,3000000
1705,Alexis Sánchez,Left Winger,17,Cobreloa, Chile,Udinese Calcio,Serie A,2006-2007,50000,3000000
1706,Bolívar,Centre-Back,25,Internacional,Série A,Monaco,Ligue 1,2006-2007,-1,3000000
1707,Kauê,Left-Back,22,Ituano, Brazil,Konyaspor,Süper Lig,2006-2007,-1,3000000
1708,Juan Pablo Pino,Right Winger,19,Indep. Medellín, Colombia,Monaco,Ligue 1,2006-2007,-1,3000000
1709,Ryan Donk,Defensive Midfield,20,RKC Waalwijk,Eredivisie,AZ Alkmaar,Eredivisie,2006-2007,-1,3000000
1710,Luiz Adriano,Centre-Forward,19,Internacional,Série A,Shakhtar D.,Premier Liga,2006-2007,-1,3000000
1711,Tinga,Central Midfield,28,Internacional,Série A,Bor. Dortmund,1.Bundesliga,2006-2007,3000000,2900000
1712,Mohamed Zidan,Second Striker,25,Werder Bremen,1.Bundesliga,1.FSV Mainz 05,1.Bundesliga,2006-2007,3000000,2800000
1713,Djimi Traoré,Centre-Back,26,Liverpool,Premier League,Charlton,Premier League,2006-2007,2500000,2800000
1714,Karim Haggui,Centre-Back,22,R. Strasbourg,Ligue 2,Bay. Leverkusen,1.Bundesliga,2006-2007,4000000,2780000
1715,Marcelinho Paraíba,Attacking Midfield,31,Trabzonspor,Süper Lig,VfL Wolfsburg,1.Bundesliga,2006-2007,10000000,2750000
1716,Aleksandar Lukovic,Centre-Back,23,Red Star,SuperLiga,Udinese Calcio,Serie A,2006-2007,3000000,2700000
1717,Gabriel Paletta,Centre-Back,20,CA Banfield,Torneo Final,Liverpool,Premier League,2006-2007,3000000,2700000
1718,Luton Shelton,Left Winger,21,Helsingborg,Allsvenskan,Sheffield Utd.,Premier League,2006-2007,1300000,2700000
1719,Yuki Abe,Defensive Midfield,25,JEF Utd. Chiba,J1 League,Urawa Reds,J1 League,2006-2007,400000,2700000
1720,Matías Vuoso,Centre-Forward,25,América,Liga MX Clausura,Santos Laguna,Liga MX Clausura,2006-2007,2000000,2650000
1721,Marko Pantelic,Centre-Forward,27,Red Star,SuperLiga,Hertha BSC,1.Bundesliga,2006-2007,3800000,2600000
1722,Razvan Cocis,Central Midfield,23,Sheriff, Moldova,Loko Moscow,Premier Liga,2006-2007,325000,2600000
1723,Marcelinho Paraíba,Attacking Midfield,31,Hertha BSC,1.Bundesliga,Trabzonspor,Süper Lig,2006-2007,10000000,2500000
1724,Modeste M'Bami,Defensive Midfield,23,Paris SG,Ligue 1,Marseille,Ligue 1,2006-2007,5000000,2500000
1725,Kevin Kilbane,Left Midfield,29,Everton,Premier League,Wigan,Premier League,2006-2007,4500000,2500000
1726,Angelos Charisteas,Centre-Forward,26,AFC Ajax,Eredivisie,Feyenoord,Eredivisie,2006-2007,4000000,2500000
1727,Luigi Pieroni,Centre-Forward,26,AJ Auxerre,Ligue 1,FC Nantes,Ligue 1,2006-2007,4000000,2500000
1728,Fernando Torres,Centre-Forward,23,Atlético Madrid,LaLiga,Liverpool,Premier League,2007-2008,30000000,38000000
1729,Arjen Robben,Right Winger,23,Chelsea,Premier League,Real Madrid,LaLiga,2007-2008,22800000,35000000
1730,Anderson,Central Midfield,19,FC Porto,Liga NOS,Man Utd,Premier League,2007-2008,25000000,31500000
1731,Pepe,Centre-Back,24,FC Porto,Liga NOS,Real Madrid,LaLiga,2007-2008,30000000,30000000
1732,Franck Ribéry,Left Winger,24,Marseille,Ligue 1,Bayern Munich ,1.Bundesliga,2007-2008,23000000,30000000
1733,Wesley Sneijder,Attacking Midfield,23,AFC Ajax,Eredivisie,Real Madrid,LaLiga,2007-2008,16000000,27000000
1734,Nani,Left Winger,20,Sporting CP,Liga NOS,Man Utd,Premier League,2007-2008,25000000,25500000
1735,Owen Hargreaves,Defensive Midfield,26,Bayern Munich ,1.Bundesliga,Man Utd,Premier League,2007-2008,25000000,25000000
1736,Darren Bent,Centre-Forward,23,Charlton,Championship,Spurs,Premier League,2007-2008,7500000,24750000
1737,Thierry Henry,Centre-Forward,29,Arsenal,Premier League,FC Barcelona,LaLiga,2007-2008,45000000,24000000
1738,Alexandre Pato,Centre-Forward,17,Internacional,Série A,AC Milan,Serie A,2007-2008,4000000,24000000
1739,Diego Forlán,Second Striker,28,Villarreal CF,LaLiga,Atlético Madrid,LaLiga,2007-2008,9000000,21000000
1740,Simão,Left Winger,27,Benfica,Liga NOS,Atlético Madrid,LaLiga,2007-2008,15000000,20000000
1741,Gabriel Milito,Centre-Back,26,Real Zaragoza,LaLiga,FC Barcelona,LaLiga,2007-2008,14000000,20000000
1742,Mirko Vucinic,Second Striker,23,Lecce,Serie B,AS Roma,Serie A,2007-2008,9000000,19500000
1743,Florent Malouda,Central Midfield,27,Olympique Lyon,Ligue 1,Chelsea,Premier League,2007-2008,21000000,19000000
1744,Nicolas Anelka,Centre-Forward,28,Bolton,Premier League,Chelsea,Premier League,2007-2008,20000000,18000000
1745,Éver Banega,Central Midfield,19,Boca Juniors,Torneo Final,Valencia CF,LaLiga,2007-2008,15000000,18000000
1746,Manuel Fernandes,Central Midfield,21,Benfica,Liga NOS,Valencia CF,LaLiga,2007-2008,8500000,18000000
1747,Ryan Babel,Left Winger,20,AFC Ajax,Eredivisie,Liverpool,Premier League,2007-2008,8000000,17250000
1748,Afonso Alves,Centre-Forward,26,Heerenveen,Eredivisie,Middlesbrough,Premier League,2007-2008,13000000,17000000
1749,Abdul Kader Keita,Right Winger,25,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2007-2008,18000000,16800000
1750,Yakubu Aiyegbeni,Centre-Forward,24,Middlesbrough,Premier League,Everton,Premier League,2007-2008,12000000,16500000
1751,Cristian Chivu,Centre-Back,26,AS Roma,Serie A,Inter,Serie A,2007-2008,15000000,16000000
1752,Miroslav Klose,Centre-Forward,29,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2007-2008,23000000,15000000
1753,Éric Abidal,Left-Back,27,Olympique Lyon,Ligue 1,FC Barcelona,LaLiga,2007-2008,13500000,15000000
1754,Mauro Zárate,Second Striker,20,Vélez Sarsfield,Torneo Final,Al Sadd, Qatar,2007-2008,7500000,15000000
1755,Nery Castillo,Right Winger,23,Olympiacos,Super League,Shakhtar D.,Premier Liga,2007-2008,3000000,15000000
1756,Gareth Bale,Right Winger,17,Southampton,Championship,Spurs,Premier League,2007-2008,7500000,14700000
1757,Matuzalém,Defensive Midfield,27,Shakhtar D.,Premier Liga,Real Zaragoza,LaLiga,2007-2008,14000000,14500000
1758,Royston Drenthe,Left Midfield,20,Feyenoord,Eredivisie,Real Madrid,LaLiga,2007-2008,13000000,14000000
1759,Willian,Right Winger,19,Corinthians,Série A,Shakhtar D.,Premier Liga,2007-2008,11000000,14000000
1760,Nikola Zigic,Centre-Forward,26,Racing,LaLiga,Valencia CF,LaLiga,2007-2008,10000000,14000000
1761,Marcell Jansen,Left-Back,21,Bor. M'gladbach,2.Bundesliga,Bayern Munich ,1.Bundesliga,2007-2008,10000000,14000000
1762,Eduardo,Centre-Forward,24,Dinamo Zagreb,1.HNL,Arsenal,Premier League,2007-2008,7650000,13500000
1763,Tiago,Central Midfield,26,Olympique Lyon,Ligue 1,Juventus,Serie A,2007-2008,15000000,13000000
1764,David Suazo,Centre-Forward,27,Cagliari Calcio,Serie A,Inter,Serie A,2007-2008,13000000,13000000
1765,Raúl García,Attacking Midfield,20,CA Osasuna,LaLiga,Atlético Madrid,LaLiga,2007-2008,12000000,13000000
1766,Rolando Bianchi,Centre-Forward,24,Reggina,Serie A,Man City,Premier League,2007-2008,8500000,13000000
1767,Alan Hutton,Right-Back,23,Rangers,Premiership,Spurs,Premier League,2007-2008,8000000,13000000
1768,Vedran Corluka,Centre-Back,21,Dinamo Zagreb,1.HNL,Man City,Premier League,2007-2008,4100000,13000000
1769,Nigel Reo-Coker,Defensive Midfield,23,West Ham,Premier League,Aston Villa,Premier League,2007-2008,4300000,12500000
1770,José Antonio Reyes,Right Winger,23,Arsenal,Premier League,Atlético Madrid,LaLiga,2007-2008,16700000,12000000
1771,Juan Riquelme,Attacking Midfield,29,Villarreal CF,LaLiga,Boca Juniors,Torneo Final,2007-2008,16000000,12000000
1772,Gabriel Heinze,Centre-Back,29,Man Utd,Premier League,Real Madrid,LaLiga,2007-2008,13000000,12000000
1773,Breno,Centre-Back,18,São Paulo,Série A,Bayern Munich ,1.Bundesliga,2007-2008,12000000,12000000
1774,Branislav Ivanovic,Centre-Back,23,Loko Moscow,Premier Liga,Chelsea,Premier League,2007-2008,12000000,12000000
1775,Kieron Dyer,Right Midfield,28,Newcastle,Premier League,West Ham,Premier League,2007-2008,9200000,12000000
1776,Arouna Koné,Centre-Forward,23,PSV Eindhoven,Eredivisie,Sevilla FC,LaLiga,2007-2008,8500000,12000000
1777,Elano,Attacking Midfield,26,Shakhtar D.,Premier Liga,Man City,Premier League,2007-2008,7750000,12000000
1778,Younès Kaboul,Centre-Back,21,AJ Auxerre,Ligue 1,Spurs,Premier League,2007-2008,7500000,12000000
1779,Javier Arizmendi,Centre-Forward,23,Dep. La Coruña,LaLiga,Valencia CF,LaLiga,2007-2008,6000000,12000000
1780,Óscar Cardozo,Centre-Forward,24,Newell's,Torneo Final,Benfica,Liga NOS,2007-2008,9000000,11670000
1781,Vincenzo Iaquinta,Centre-Forward,27,Udinese Calcio,Serie A,Juventus,Serie A,2007-2008,12000000,11300000
1782,Craig Bellamy,Left Winger,28,Liverpool,Premier League,West Ham,Premier League,2007-2008,12000000,11250000
1783,Luca Toni,Centre-Forward,30,Fiorentina,Serie A,Bayern Munich ,1.Bundesliga,2007-2008,28500000,11000000
1784,Mohamed Sissoko,Defensive Midfield,23,Liverpool,Premier League,Juventus,Serie A,2007-2008,9000000,11000000
1785,Craig Gordon,Goalkeeper,24,Heart of Midl.,Premiership,Sunderland,Premier League,2007-2008,1750000,10820000
1786,Jonathan Woodgate,Centre-Back,28,Middlesbrough,Premier League,Spurs,Premier League,2007-2008,7500000,10800000
1787,Sulley Muntari,Central Midfield,22,Udinese Calcio,Serie A,Portsmouth,Premier League,2007-2008,7000000,10510000
1788,Jorge Andrade,Centre-Back,29,Dep. La Coruña,LaLiga,Juventus,Serie A,2007-2008,12500000,10000000
1789,Martin Skrtel,Centre-Back,23,Zenit S-Pb,Premier Liga,Liverpool,Premier League,2007-2008,8500000,10000000
1790,Giuseppe Rossi,Centre-Forward,20,Man Utd,Premier League,Villarreal CF,LaLiga,2007-2008,6500000,10000000
1791,Peter Odemwingie,Right Winger,26,LOSC Lille,Ligue 1,Loko Moscow,Premier Liga,2007-2008,6000000,10000000
1792,Lucas Leiva,Defensive Midfield,20,Grêmio,Série A,Liverpool,Premier League,2007-2008,6000000,10000000
1793,John Utaka,Left Winger,25,Stade Rennais,Ligue 1,Portsmouth,Premier League,2007-2008,5500000,10000000
1794,Ilsinho,Right Midfield,21,São Paulo,Série A,Shakhtar D.,Premier Liga,2007-2008,-1,10000000
1795,Scott Parker,Central Midfield,26,Newcastle,Premier League,West Ham,Premier League,2007-2008,12000000,9700000
1796,Jonathan Woodgate,Centre-Back,27,Real Madrid,LaLiga,Middlesbrough,Premier League,2007-2008,11000000,9600000
1797,Jermain Defoe,Centre-Forward,25,Spurs,Premier League,Portsmouth,Premier League,2007-2008,11500000,9300000
1798,Julien Faubert,Defensive Midfield,24,G. Bordeaux,Ligue 1,West Ham,Premier League,2007-2008,10500000,9150000
1799,Cicinho,Right-Back,27,Real Madrid,LaLiga,AS Roma,Serie A,2007-2008,15000000,9000000
1800,Djibril Cissé,Centre-Forward,25,Liverpool,Premier League,Marseille,Ligue 1,2007-2008,13500000,9000000
1801,Sergio Almirón,Central Midfield,26,FC Empoli,Serie A,Juventus,Serie A,2007-2008,11000000,9000000
1802,Yaya Touré,Central Midfield,24,Monaco,Ligue 1,FC Barcelona,LaLiga,2007-2008,11000000,9000000
1803,José Sosa,Attacking Midfield,22,Estudiantes,Torneo Final,Bayern Munich ,1.Bundesliga,2007-2008,10000000,9000000
1804,Bacary Sagna,Right-Back,24,AJ Auxerre,Ligue 1,Arsenal,Premier League,2007-2008,6000000,9000000
1805,Alan Smith,Central Midfield,26,Man Utd,Premier League,Newcastle,Premier League,2007-2008,5400000,9000000
1806,Diomansy Kamara,Right Winger,26,West Brom,Championship,Fulham,Premier League,2007-2008,3000000,9000000
1807,David Nugent,Centre-Forward,22,Preston NE,Championship,Portsmouth,Premier League,2007-2008,2500000,9000000
1808,Kenwyne Jones,Centre-Forward,22,Southampton,Championship,Sunderland,Premier League,2007-2008,1600000,9000000
1809,Mido,Centre-Forward,24,Spurs,Premier League,Middlesbrough,Premier League,2007-2008,5900000,8800000
1810,Fabio Grosso,Left-Back,29,Inter,Serie A,Olympique Lyon,Ligue 1,2007-2008,8500000,8700000
1811,Gökdeniz Karadeniz,Left Winger,28,Trabzonspor,Süper Lig,Rubin Kazan,Premier Liga,2007-2008,7500000,8700000
1812,José Enrique,Left-Back,21,Villarreal CF,LaLiga,Newcastle,Premier League,2007-2008,800000,8700000
1813,Joey Barton,Central Midfield,24,Man City,Premier League,Newcastle,Premier League,2007-2008,7400000,8600000
1814,Kieran Richardson,Left-Back,22,Man Utd,Premier League,Sunderland,Premier League,2007-2008,5000000,8200000
1815,Valeri Bojinov,Centre-Forward,21,Fiorentina,Serie A,Man City,Premier League,2007-2008,9750000,8000000
1816,Aleksandr Kerzhakov,Centre-Forward,25,Sevilla FC,LaLiga,Dinamo Moscow,Premier Liga,2007-2008,8000000,8000000
1817,Rio Mavuba,Defensive Midfield,23,G. Bordeaux,Ligue 1,Villarreal CF,LaLiga,2007-2008,7500000,8000000
1818,Karim Ziani,Attacking Midfield,24,FC Sochaux,Ligue 1,Marseille,Ligue 1,2007-2008,5500000,8000000
1819,Boško Jankovic,Right Winger,23,RCD Mallorca,LaLiga,US Palermo,Serie A,2007-2008,5000000,8000000
1820,Albert Luque,Left Winger,29,Newcastle,Premier League,AFC Ajax,Eredivisie,2007-2008,4800000,8000000
1821,Aquivaldo Mosquera,Centre-Back,26,CF Pachuca,Liga MX Clausura,Sevilla FC,LaLiga,2007-2008,-1,8000000
1822,Cléber Santana,Central Midfield,26,Santos FC,Série A,Atlético Madrid,LaLiga,2007-2008,-1,8000000
1823,Ángel Di María,Right Winger,19,CA Rosario,Torneo Final,Benfica,Liga NOS,2007-2008,-1,8000000
1824,Cristiano Lucarelli,Centre-Forward,31,AS Livorno,Serie A,Shakhtar D.,Premier Liga,2007-2008,11500000,7910000
1825,Kevin-Prince Boateng,Central Midfield,20,Hertha BSC,1.Bundesliga,Spurs,Premier League,2007-2008,4000000,7900000
1826,Carlos Alberto,Attacking Midfield,22,Fluminense,Série A,Werder Bremen,1.Bundesliga,2007-2008,7500000,7800000
1827,Leighton Baines,Left-Back,22,Wigan,Premier League,Everton,Premier League,2007-2008,7500000,7500000
1828,Mémé Tchité,Centre-Forward,23,RSC Anderlecht,Jupiler Pro League,Racing,LaLiga,2007-2008,5500000,7500000
1829,Grafite,Centre-Forward,28,Le Mans,Ligue 1,VfL Wolfsburg,1.Bundesliga,2007-2008,4500000,7500000
1830,Gary O'Neil,Central Midfield,24,Portsmouth,Premier League,Middlesbrough,Premier League,2007-2008,3750000,7500000
1831,James McFadden,Second Striker,24,Everton,Premier League,Birmingham,Premier League,2007-2008,3000000,7500000
1832,Nelson Rivas,Centre-Back,24,River Plate,Torneo Final,Inter,Serie A,2007-2008,2500000,7500000
1833,Michael Chopra,Centre-Forward,23,Cardiff,Championship,Sunderland,Premier League,2007-2008,1250000,7500000
