,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
2819,Matías Silvestre,Centre-Back,26,Catania,Serie A,US Palermo,Serie A,2011-2012,3500000,8000000
2820,Sebastián Coates,Centre-Back,20,Nacional,Primera División,Liverpool,Premier League,2011-2012,2500000,8000000
2821,Gaël Clichy,Left-Back,25,Arsenal,Premier League,Man City,Premier League,2011-2012,15000000,7750000
2822,Fabio Borini,Left Winger,20,Parma,Serie A,AS Roma,Serie A,2011-2012,4800000,7600000
2823,Kevin-Prince Boateng,Central Midfield,24,Genoa,Serie A,AC Milan,Serie A,2011-2012,15000000,7500000
2824,Mamadou Niang,Centre-Forward,31,Fenerbahce,Süper Lig,Al Sadd,Stars League,2011-2012,11500000,7500000
2825,Simone Pepe,Right Winger,27,Udinese Calcio,Serie A,Juventus,Serie A,2011-2012,9000000,7500000
2826,Pablo Piatti,Left Winger,22,UD Almería,LaLiga2,Valencia CF,LaLiga,2011-2012,9000000,7500000
2827,Lucas Piazón,Left Winger,18,FC São Paulo B, Brazil,Chelsea,Premier League,2011-2012,7500000,7500000
2828,Ander Herrera,Central Midfield,21,Real Zaragoza,LaLiga,Athletic Bilbao,LaLiga,2011-2012,7500000,7500000
2829,Youssef El Arabi,Centre-Forward,24,SM Caen,Ligue 1,Hilal,Professional League,2011-2012,6500000,7500000
2830,Felipe Caicedo,Centre-Forward,22,Levante UD,LaLiga,Loko Moscow,Premier Liga,2011-2012,5000000,7500000
2831,Dentinho,Attacking Midfield,22,Corinthians,Série A,Shakhtar D.,Premier Liga,2011-2012,3000000,7500000
2832,Maarten Stekelenburg,Goalkeeper,28,AFC Ajax,Eredivisie,AS Roma,Serie A,2011-2012,11000000,7330000
2833,Emanuele Giaccherini,Left Winger,26,RC Cesena,Serie A,Juventus,Serie A,2011-2012,5000000,7250000
2834,André Santos,Attacking Midfield,28,Fenerbahce,Süper Lig,Arsenal,Premier League,2011-2012,8500000,7000000
2835,Kévin Constant,Defensive Midfield,24,Chievo Verona,Serie A,Genoa,Serie A,2011-2012,5500000,7000000
2836,Tim Matavz,Centre-Forward,22,FC Groningen,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,5500000,7000000
2837,Thiago Neves,Attacking Midfield,26,Hilal,Professional League,Fluminense,Série A,2011-2012,4500000,7000000
2838,Diego Tardelli,Centre-Forward,26,Anzhi, Russia,Al Gharafa,Stars League,2011-2012,2500000,7000000
2839,Scott Dann,Centre-Back,24,Birmingham,Championship,Blackburn,Premier League,2011-2012,4500000,6800000
2840,Fernando Muslera,Goalkeeper,25,Lazio,Serie A,Galatasaray,Süper Lig,2011-2012,12000000,6750000
2841,Eliaquim Mangala,Centre-Back,20,Standard Liège,Jupiler Pro League,FC Porto,Liga NOS,2011-2012,5000000,6750000
2842,Diniyar Bilyaletdinov,Attacking Midfield,26,Everton,Premier League,Spartak Moscow, Russia,2011-2012,6500000,6700000
2843,Mevlüt Erdinc,Centre-Forward,24,Paris SG,Ligue 1,Stade Rennais,Ligue 1,2011-2012,7250000,6600000
2844,Nikica Jelavic,Centre-Forward,26,Rangers,Premiership,Everton,Premier League,2011-2012,5000000,6600000
2845,Craig Gardner,Central Midfield,24,Birmingham,Championship,Sunderland,Premier League,2011-2012,4000000,6600000
2846,Ju-yeong Park,Centre-Forward,26,Monaco,Ligue 2,Arsenal,Premier League,2011-2012,7000000,6500000
2847,Alexander Merkel,Central Midfield,19,AC Milan,Serie A,Genoa,Serie A,2011-2012,3500000,6500000
2848,Scott Parker,Central Midfield,30,West Ham,Championship,Spurs,Premier League,2011-2012,14000000,6200000
2849,Borja Valero,Central Midfield,26,West Brom,Premier League,Villarreal CF,LaLiga,2011-2012,12000000,6000000
